company,rank,revenue,profit,num. of employees,Market Cap
Carvana,290,12814,-135,21000,19549.5
XPO Logistics,291,12806,336,44700,8356.9
Baxter International,292,12784,1284,60000,39017.9
Ecolab,293,12733.1,1129.9,47000,50548.4
Tractor Supply,294,12731.1,997.1,34000,26171.6
Andersons,295,12728.8,104,2334,1151
Keurig Dr Pepper,296,12683,2146,27500,53748.2
Universal Health Services,297,12642.1,991.6,78850,10843.1
CSX,298,12522,3781,20919,81587.8
Henry Schein,299,12401,631.2,21600,8952
Sonic Automotive,300,12396.4,348.9,10200,1728.8
eBay,301,12394,13608,10800,33641.9
Textron,302,12382,746,33000,16090.6
Jones Financial (Edward Jones),303,12373,1605,50000,-
Community Health Systems,304,12368,230,58500,1598.6
Mosaic,305,12357.4,1630.6,12525,24492.6
Thor Industries,306,12317.4,659.9,31000,4273
Dick's Sporting Goods,307,12293.4,1519.9,34300,7986.6
Newmont,308,12222,1166,14400,62968.1
Devon Energy,309,12206,2813,1600,39274.1
Warner Bros. Discovery,310,12191,1006,11000,12700.5
J.B. Hunt Transport Services,311,12168.3,760.8,33045,21052.9
Alcoa,312,12152,429,12200,16603.4
Peter Kiewit Sons',313,12149,753,28800,
Aramark,314,12096,-90.8,248300,9655.5
Vistra,315,12077,-1274,5060,10434.7
State Street,316,12030,2693,38784,31891.8
Unum Group,317,12013.8,824.2,10200,6382.8
Alleghany,318,12004.1,1034.9,13313,11396.1
Boston Scientific,319,11888,1041,41000,63310.2
Westlake,320,11778,2015,14550,15785.4
Entergy,321,11742.9,1118.5,12369,23760.4
International Flavors & Fragrances,322,11656,270,24000,33455.6
DaVita,323,11618.8,978.5,69000,10892.5
Mutual of Omaha Insurance,324,11459.3,579,5739,
Assurant,325,11410,1372.4,15600,10493.1
Liberty Media,326,11400,398,6886,15239.1
Hormel Foods,327,11386.2,908.8,20000,28089.2
Icahn Enterprises,328,11328,-518,19536,15237.1
Republic Services,329,11295,1290.4,35000,41841.7
Mohawk Industries,330,11200.6,1033.2,43000,8081.8
Conagra Brands,331,11184.7,1298.8,18600,16103.5
Norfolk Southern,332,11142,3005,18100,68389.3
AES,333,11141,-409,8450,17172.1
AGCO,334,11138.3,897,23300,10885.3
Caesars Entertainment,335,11110,-1019,49000,16564.6
Equitable Holdings,336,11036,-439,10000,12041.2
Advance Auto Parts,337,10998,616.1,54500,12644.8
Biogen,338,10981.7,1556.1,9610,30950.4
Auto-Owners Insurance,339,10980.2,1318.4,6441,
Booking Holdings,340,10958,1165,20199,96022.7
Amphenol,341,10876.3,1590.8,90000,45130.1
Quest Diagnostics,342,10788,1995,44500,16348.6
FirstEnergy,343,10758,1283,12395,26181.6
DCP Midstream,344,10707,391,1788,6993.2
Ally Financial,345,10690,3060,10500,14411.6
Delek US Holdings,346,10648.2,-203.5,3312,1500.2
Williams,347,10627,1517,4783,40670.4
Newell Brands,348,10589,572,32000,8902.4
Eastman Chemical,349,10476,857,14000,14450.1
Air Products & Chemicals,350,10323,2099.1,20750,55409.4
Thrivent Financial for Lutherans,351,10312.7,2530.2,3256,
Molson Coors Beverage,352,10279.7,1005.7,16300,11631.8
Interpublic Group,353,10240.7,952.8,55600,13965.9
Weyerhaeuser,354,10201,2607,9214,28315
Altice USA,355,10090.8,990.3,9000,5674.1
Raymond James Financial,356,9910,1403,15000,22817.5
EMCOR Group,357,9903.6,383.5,34000,5931.8
Eversource Energy,358,9863.1,1220.5,9227,30403.2
Yum China Holdings,359,9853,990,298500,17679
Asbury Automotive Group,360,9837.7,532.4,14200,3714.8
Owens & Minor,361,9785.3,221.6,17300,3375.6
Public Service Enterprise Group,362,9722,-648,12684,35145.5
United Rentals,363,9716,1386,20400,25643.3
MGM Resorts International,364,9680.1,1254.4,60500,18257.9
Ryder System,365,9663,519,42800,4055.4
Intuit,366,9633,2062,17350,135987.6
Cincinnati Financial,367,9629.7,2945.6,5166,21813.3
Erie Insurance Group,368,9619.7,1130.1,5805,
Univar Solutions,369,9535.5,460.6,9450,5459.8
Huntington Ingalls Industries,370,9524,544,44000,7991
W.R. Berkley,371,9455.5,1022.5,7681,17658.8
Western & Southern Financial Group,372,9441.7,361.2,2538,
Insight Enterprises,373,9436.1,219.3,11624,3745.1
News Corp.,374,9358,330,24000,13127.7
American Tower,375,9356.9,2567.7,6378,114527.4
Old Republic International,376,9341.6,1534.3,9600,7972.8
Burlington Stores,377,9322.3,408.8,38599,12112.8
Avis Budget Group,378,9313,1285,18500,14157
ODP,379,9267,-208,26000,2222.2
VF Corp.,380,9238.8,407.9,33600,11620
Bed Bath & Beyond,381,9233,-150.8,37600,2170.5
Seaboard,382,9229,570,13200,4881.6
First American Financial,383,9221,1241,22233,7087.2
Intercontinental Exchange,384,9168,4058,8858,74044.8
PVH,385,9154.7,952.3,25000,5210
Apollo Global Management,386,9124,1838.5,2153,37194
Jefferies Financial Group,387,9039.9,1674.4,5556,7248
Hershey,388,8971.3,1477.5,17805,44461.5
NVR,389,8970.1,1236.7,6600,15010.5
Foot Locker,390,8958,893,33244,2850
Dana,391,8945,197,40200,2544.4
SpartanNash,392,8931,73.8,13300,1185.1
Olin,393,8910.6,1296.7,7750,8062
Chewy,394,8890.8,-73.8,21300,17147.3
Jackson Financial,395,8848,3183,3150,3895.1
Activision Blizzard,396,8803,2699,9800,62559.7
Toll Brothers,397,8790.4,833.6,5100,5515.4
Carlyle Group,398,8782.1,2974.7,1850,9539
Graybar Electric,399,8767.3,262.4,8800,-
Ovintiv,400,8658,1416,1713,13987.5
UFP Industries,401,8636.1,535.6,15000,4471
Ulta Beauty,402,8630.9,985.8,28500,20837.8
Constellation Brands,403,8614.9,1998,9300,43763.5
Expedia Group,404,8598,12,14800,30476.5
CommScope Holding,405,8586.7,-462.6,30000,1629.7
Celanese,406,8537,1890,8529,15434.1
Global Payments,407,8523.8,965.5,25000,38545.6
Owens Corning,408,8498,995,20000,9064.7
Campbell Soup,409,8476,1002,14100,13446.9
Huntsman,410,8453,1045,9000,8046.9
Franklin Resources,411,8425.5,1831.2,10300,14019.3
Avery Dennison,412,8408.3,740.1,36000,14327.4
Masco,413,8375,410,20000,12062.7
CenterPoint Energy,414,8352,1486,9418,19285.8
Fifth Third Bancorp,415,8329,2770,19112,29511.3
WEC Energy Group,416,8316,1300.3,6938,31483.5
S&P Global,417,8297,3024,22850,142343.5
FM Global,418,8274.6,2842.4,5560,
Polaris,419,8252,493.9,16000,6264.1
Williams-Sonoma,420,8245.9,1126.3,16600,10376
Autoliv,421,8230,435,58176,6691.1
Arthur J. Gallagher,422,8209.4,906.8,39000,36598.6
Motorola Solutions,423,8171,1245,18700,40555.9
Zillow Group,424,8147.4,-527.8,8005,12287.1
Opendoor Technologies,425,8021,-662,2816,5364.1
J.M. Smucker,426,8002.7,876.3,7100,14686.4
Anywhere Real Estate,427,7983,343,9748,1852.1
Oshkosh,428,7952.5,409.4,15000,6703.7
MasTec,429,7951.8,328.8,27000,6657
GXO Logistics,430,7940,153,97500,8193
APA,431,7928,973,2253,14332.3
Boise Cascade,432,7926.1,712.5,6130,2405
Dover,433,7907.1,1123.8,25000,22610.3
